"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
646	0.928244897216873	1.05930523197851	3.06665359582389	4.22086512026331	-1.23370267101643	2.3182799679585	2502	-2.22186726464965	145.727
647	1.04061489833022	1.09350763235643	3.1774171715119	4.2665790223	-1.25566721586004	2.38062046065911	2422	-2.22907426380609	145.989
648	1.07815869031715	1.13133213493322	3.19365812867549	4.25335694274588	-1.25468924524895	2.36949336370873	2440	-2.18353994524538	146.248
649	1.07859159993721	1.06774771190859	3.10224178198863	4.28257330122609	-1.30486354641781	2.41637381688163	2254	-2.23392471315866	146.505
650	0.947866147849485	1.03631547744273	3.15282064263026	4.30963154988235	-1.17637449364292	2.34132968367964	2427	-2.2049150093537	146.76
651	0.89365105643709	1.03158341126582	3.03323132200654	4.28157285351994	-1.19572264897658	2.3449764975477	2311	-2.243142377536	147.013
652	1.01113839837298	1.08838725070695	3.10527528165493	4.31188606328085	-1.12781144336037	2.37516595871712	2234	-2.21331553199892	147.264
653	1.03327749490499	1.02428089443191	3.06007413934455	4.362179428699	-1.11756022396617	2.40770356580911	2326	-2.2337325747691	147.513
654	0.739631739602568	0.850524207959752	2.86744673629549	4.3367439326211	-1.26736421808319	2.30958084636007	2328	-2.24636607647315	147.759
655	0.927842015430671	1.05587225025243	3.16359994354093	4.34004896690653	-1.22132445000298	2.34513174052379	2146	-2.18112007257812	148.004
656	0.989548328851476	1.05946834799961	3.10413039749239	4.30864451090728	-1.38695991854879	2.34449670479816	2299	-2.22186964446123	148.247
657	0.960811810793277	1.02860663066593	2.99966606721886	4.2765561629324	-1.30542381867385	2.29529552386718	2343	-2.23056040119922	148.487
658	0.865044555068539	0.938074998967581	2.98493108843664	4.37579227994929	-1.26812208409002	2.36622795800367	2420	-2.23973264790657	148.726
659	0.610320535428226	0.87457597212618	2.94305069260941	4.36950003205177	-1.20890881848023	2.30890773178462	2209	-2.22795982061426	148.963
660	0.841385827865734	0.790588069079708	2.92135042770413	4.42089442740705	-1.11787927962654	2.2954398855894	2228	-2.2152244711968	149.198
661	0.689902180416618	0.759641132009416	2.80477744476982	4.40017933039798	-1.35610464093722	2.32901459383391	2259	-2.28932332863958	149.431
662	0.661477867276036	0.771611056872015	2.91103010836186	4.49190338727574	-1.28435265221085	2.37664032732214	2140	-2.26389310623032	149.662
663	0.665170318241963	0.696959936714501	2.94166505228372	4.63556199162418	-1.23474446299269	2.41488244384497	1703	-2.24352663767218	149.892
664	0.472549611921202	0.616059549133123	2.67579625592446	4.62135823691473	-1.09823256586119	2.30882437854355	1329	-2.27555069061311	150.12
665	0.573820288043243	0.623423637200327	2.64733448439863	4.60101031698452	-1.16868594923622	2.24331709638457	1313	-2.2710528173652	150.346
666	0.55213632150413	0.704262522863187	2.73282762465506	4.59145459562536	-1.33389629770081	2.27355372242583	1358	-2.26556181971184	150.57
667	0.47377110205086	0.629357442684615	2.65567214747412	4.61311385077472	-1.34667068909174	2.25946352295495	1413	-2.26964688481365	150.793
668	0.580883442753823	0.644842859472758	2.71092583212767	4.60830090540393	-1.22961032863737	2.297677461897	1237	-2.2532803673514	151.014
669	0.489571944202496	0.674219170674426	2.74694092014525	4.60263418925076	-1.19489709088343	2.28717281399916	1459	-2.27459828849983	151.234
670	0.661372613374669	0.67002710794517	2.76590040684431	4.65832776531582	-1.14179652944681	2.33942805092389	1453	-2.22118595406656	151.452
671	0.655728479171398	0.669599366982511	2.70011577633821	4.63092646819336	-1.16240648524582	2.31163492851396	1428	-2.25434243994406	151.669
672	0.484216515038026	0.589487139015267	2.76061912208643	4.71332412649632	-1.16250376999016	2.302876808282	1424	-2.29198559505261	151.884
673	0.432981075569299	0.584655264053556	2.63383862347803	4.70511922227627	-1.18814905816103	2.30934430474933	1286	-2.26825914507627	152.097
674	0.527764677822914	0.646957798090571	2.7855255132705	4.57487216513724	-1.36257783450257	2.29274517271207	1850	-2.33396907096753	152.31
675	0.708510611236715	0.660240062563516	2.79223092767788	4.55061415840278	-1.14057129297544	2.28648145694375	1763	-2.28047712845644	152.521
676	0.603725143380843	0.683797957480598	2.71200324604226	4.57239168294689	-1.31787969144147	2.32158736640686	1316	-2.25560160183414	152.73
677	0.637134023573558	0.75707675009035	2.77578526729329	4.51357054171241	-1.30539298277184	2.36326064297631	1203	-2.25859864081662	152.938
678	0.472719177418218	0.706987063913311	2.73571738853248	4.49974262148516	-1.31482383744639	2.31749714692523	1351	-2.27413197903662	153.145
679	0.532587115547503	0.763605644208507	2.7314628621126	4.41467364598903	-1.2744312679745	2.33356683060277	1350	-2.25834873005983	153.351
680	0.507926689070114	0.705569700558502	2.7107658087454	4.45153648318311	-1.2635421027502	2.29995004535604	1330	-2.271019911224	153.555
681	0.791480794262267	0.751587470737783	2.80196009373368	4.42178272751337	-1.22356124535064	2.24365283091007	1445	-2.20115220076169	153.759
682	0.672957631223729	0.710722325381453	2.68742195906319	4.35532713951128	-1.22866541691631	2.31150713298663	898	-2.27965417241675	153.961
684	0.565872847518479	0.75421968441863	2.69059747611664	4.23995198284633	-1.41452035120628	2.32454489660379	287	-2.30867421017143	154.362
685	0.626316472077489	0.756106172068849	2.74662320388891	4.35626692195138	-1.29539131474321	2.33856305085746	310	-2.28205560061021	154.561
686	0.702363835664869	0.822597899151371	2.80643168737992	4.31054228342786	-1.24675514027169	2.32214561884854	284	-2.30409106860011	154.758
687	0.728839763040898	0.889182413116077	2.84409780525464	4.24225461160275	-1.3271466886172	2.36019560100645	306	-2.23711635569923	154.955
688	0.542625445518122	0.75717432352222	2.74734956461536	4.34973327853124	-1.32551930680975	2.28053044304479	451	-2.26197443956589	155.151
689	0.770875144793236	0.827135414389337	2.9156827962935	4.46198872699261	-1.36624797152557	2.3162203843234	398	-2.30528193415428	155.346
690	0.909091276731301	0.751997928532008	2.82949303875909	4.46296511957852	-1.29736846133138	2.27715691582472	323	-2.33637735569121	155.54
691	0.693147180559945	0.668899800534176	2.73064316986054	4.39260998609566	-1.22239187061907	2.25580764396862	343	-2.32962629412644	155.734
692	0.673609284003605	0.851652635740688	2.86031762291992	4.25280229173464	-1.33656660208818	2.34316265845862	298	-2.32379465888917	155.926
693	0.774669065264804	0.89658896213269	2.84847549341877	4.14850866421803	-1.3580031761646	2.33381109334562	303	-2.28957473572382	156.118
694	0.832877999858897	0.897066319627103	2.94692242415144	4.21897959624459	-1.37641917195219	2.35739046620649	256	-2.27311114599878	156.309
695	0.986288123787112	0.953078757367835	2.96582057344471	4.13971969607362	-1.30474115948302	2.33923471976077	280	-2.26207966704946	156.499
696	0.958749939645947	0.906335046254308	2.90462342979406	4.12637082139114	-1.43562550447482	2.30545913835038	256	-2.28275259662241	156.689
697	0.788063737056688	0.751732545998002	2.77214896105684	4.1058961946535	-1.32086315357476	2.27119940656511	290	-2.3084541691052	156.878
