MCD	Age (ka BP)	Terrigenous %
54.15	1531.77	33.45
54.2	1534.22	32.95
54.25	1536.65	35.46
54.3	1539.09	38.48
54.35	1541.53	40.99
54.4	1543.96	36.97
54.45	1546.4	33.45
54.5	1548.83	28.42
54.55	1551.28	24.91
54.6	1553.71	29.43
54.65	1556.14	34.96
54.7	1558.59	34.96
54.75	1561.02	31.44
54.8	1563.46	28.93
54.85	1565.89	26.41
54.9	1568.34	26.92
54.95	1570.77	29.43
55	1573.2	31.44
55.05	1575.65	29.93
55.1	1578.08	28.93
55.15	1582.96	26.41
55.25	1585.39	31.94
55.3	1587.83	34.96
55.35	1590.26	38.48
55.4	1592.71	40.49
55.45	1595.14	38.48
55.5	1597.58	31.94
55.55	1600.02	25.91
55.6	1602.45	23.4
55.65	1604.89	23.9
55.7	1607.32	25.41
55.75	1609.77	25.41
55.8	1612.2	26.92
55.85	1614.63	25.41
55.9	1617.08	23.9
55.95	1619.51	23.4
56	1621.95	22.9
56.05	1624.39	22.9
56.1	1629.26	21.89
56.2	1631.69	25.91
56.25	1634.14	29.93
56.3	1636.57	31.94
56.35	1639.02	31.44
56.4	1641.45	27.92
56.45	1643.88	24.4
56.5	1646.32	23.4
56.55	1648.75	24.4
56.6	1651.2	25.41
56.65	1653.63	27.42
56.7	1656.08	26.41
56.75	1658.51	27.42
56.8	1660.94	27.92
56.85	1663.38	30.44
56.9	1665.82	34.96
56.95	1668.26	34.46
57	1670.69	34.96
57.05	1673.12	34.46
57.1	1675.57	33.45
57.15	1678	29.43
57.2	1680.45	29.93
57.25	1682.88	30.44
57.3	1702.37	30.94
57.7	1705.13	56.57
57.75	1707.9	56.57
57.8	1710.69	54.06
57.85	1713.46	49.54
57.9	1716.24	40.49
57.95	1719.02	37.47
58	1721.79	43
58.05	1724.57	47.53
58.1	1727.34	49.03
58.15	1730.13	49.03
58.2	1732.9	44.01
58.25	1735.67	33.45
58.3	1738.45	28.93
58.35	1741.22	31.44
58.4	1744.01	37.47
58.45	1746.55	45.01
58.5	1748.82	47.02
58.55	1751.08	43.5
58.6	1753.33	36.97
58.65	1755.6	31.44
58.7	1757.86	27.92
58.75	1760.12	28.42
58.8	1762.38	28.42
58.85	1764.64	29.93
