Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
2.61159	0.014	128.726	0.429	41.9955	0.132504		36.625	1.224	0.291940764
2.61921	0.011	129.037	0.491	42.081	0.136459		36.75	1.083	0.272769702
2.62682	0.013	129.348	0.545	42.3136	0.139974		36.875	1.048	0.249206806
2.63443	0.014	129.637	0.594	42.488	0.14261		37	1.056	0.224918326
2.64205	0.011	129.886	0.639	42.6625	0.145247		37.125	1.109	0.200568447
2.64967	0.016	130.135	0.685	42.895	0.148762		37.25	1.048	0.179652248
2.65728	0.016	130.384	0.725	43.1858	0.153156		37.375	0.939	0.167529702
2.66489	0.013	130.633	0.754	43.3602	0.155793		37.5	0.919	0.164688017
2.67251	0.013	130.882	0.768	43.5347	0.158429		37.625	0.963	0.167279602
2.68012	0.011	131.131	0.767	43.7091	0.161066		37.75	1.111	0.174362961
2.68773	0.029	131.38	0.756	43.9998	0.16546		37.875	1.061	0.189274465
2.69534	0.06	131.629	0.738	44.3778	0.176534		38	0.846	0.212590285
2.70297	0.015	131.878	0.718	44.6976	0.191198		38.125	0.36	0.237780908
2.71058	0.015	132.127	0.698	45.0465	0.207195		38.25	-0.06	0.255920979
2.71819	0.013	132.376	0.679	45.3953	0.223191		38.375	-0.272	0.264212056
2.72581	0.012	132.625	0.667	45.7151	0.237855		38.5	-0.264	0.266443634
2.73342	0.015	132.874	0.663	46.064	0.253852		38.625	-0.177	0.265907419
2.74103	0.01	133.123	0.665	46.4129	0.269849		38.75	-0.164	0.263887954
2.74864	0.01	133.372	0.663	46.8781	0.291178		38.875	-0.241	0.262306997
2.75626	0.016	133.621	0.655	47.256	0.303201		39	-0.402	0.263130356
2.76387	0.012	133.869	0.642	47.6049	0.306461		39.125	-0.623	0.265416098
2.77149	0.012	134.118	0.624	47.9538	0.309721		39.25	-0.811	0.264944875
2.77911	0.013	134.367	0.601	48.2736	0.31271		39.375	-0.681	0.258967557
2.78672	0.013	134.616	0.571	48.6225	0.31597		39.5	-0.255	0.250390358
2.79433	0.015	134.924	0.537	48.9713	0.319231		39.625	-0.138	0.245422057
2.80194	0.013	135.286	0.504	49.4656	0.32385		39.75	0.11	0.246420868
2.80956	0.011	135.647	0.478	49.8145	0.32711		39.875	0.522	0.249366127
2.81717	0.009	136.008	0.458	50.1633	0.329532		40	0.569	0.250337848
2.82478	0.009	136.369	0.451	50.5122	0.330779		40.125	0.267	0.250644194
2.8324	0.008	136.73	0.458	50.8611	0.332026		40.25	0.187	0.252312517
2.84002	0.012	137.092	0.472	51.0937	0.332858		40.375	0.375	0.254911158
