Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
4.60543	7930.344	4.637067778	0.275678056	1.894473997
4.61644	7939.796	5.669261002	0.258922777	1.702636624
4.62744	7948.952	4.753643784	0.262144025	2.028166595
4.63844	7957.752	5.526045623	0.273720019	1.912924678
4.64944	7966.552	5.336538824	0.268336543	1.576697205
4.66044	7975.874	5.66707434	0.267424155	1.642860928
4.67147	7985.176	5.14814672	0.26057423	2.023334323
4.68243	7993.944	5.044212808	0.261212468	2.039209376
4.69344	8002.752	4.965535322	0.26018045	2.230504845
4.70444	8011.108	4.86515187	0.257831643	2.603377964
4.71544	8019.352	5.19346072	0.251800592	2.125170416
4.72644	8028.152	5.565248713	0.252745711	2.220672364
4.73744	8036.952	4.908314193	0.24947503	2.680000466
4.74844	8045.752	4.261775469	0.246465504	3.866705253
4.75944	8054.552	5.275498652	0.251543377	3.307319603
4.77047	8063.376	5.530705418	0.242510168	2.655447185
4.78144	8072.152	4.983103458	0.247873905	2.935218939
4.79243	8081.187	5.69183286	0.236042177	3.421045103
4.80344	8090.408	5.449466574	0.244000382	3.116802887
4.81443	8098.544	4.849766106	0.248126912	3.3568753
4.82543	8107.6155	4.47040475	0.246742145	3.009965215
4.83644	8116.974	4.875163629	0.25320937	2.568379645
4.84744	8125.952	4.862392771	0.24313001	2.388440615
4.85843	8134.744	4.722365175	0.245082406	2.998094635
4.8695	8143.6	5.162793835	0.24438193	2.771402817
4.88044	8151.308	4.789152946	0.254686045	2.776902027
4.89143	8159.144	4.905867072	0.227905497	4.336679334
4.90244	8167.952	4.528209523	0.250376719	2.852104501
4.91344	8176.752	4.905036374	0.249742362	3.076151049
4.92444	8185.108	5.053838857	0.236110568	3.509732847
4.93543	8193.887	4.830592262	0.226621504	4.347780545
4.94644	8202.508	4.23891591	0.226431486	5.16465846
4.95743	8210.944	4.606168938	0.223716781	5.252344332
4.96848	8219.36	4.492187596	0.230888495	3.836975825
4.97943	8227.5725	4.956201164	0.254869174	2.627846766
4.99044	8236.352	4.539177753	0.246528401	2.959146506
5.00144	8245.152	5.207160906	0.262592239	2.141177107
5.01244	8253.952	4.801388432	0.261262627	2.274783582
5.02344	8262.752	3.894617064	0.191812805	20.95568265
5.03444	8271.108	4.320258143	0.208832494	9.483116168
5.04545	8279.905	5.011285158	0.218697009	5.717834844
5.05644	8289.152	4.681341927	0.223386482	10.00880841
5.06751	8297.257	5.202842502	0.210363516	5.955843228
5.07844	8306.174	4.92204403	0.260289111	2.156186651
5.11142	8330.994	4.764214506	0.235635946	5.041289593
5.12241	8338.687	5.329057685	0.264363956	2.978473602
5.13342	8346.907	4.572949723	0.269674671	3.020117016
5.14441	8356.2485	4.786739023	0.271679337	2.561625664
5.15541	8364.787	4.722129138	0.244983108	2.694508963
5.16641	8372.487	4.512581952	0.26433033	2.235175343
5.17842	8380.894	5.425905785	0.301185323	2.448633651
5.18941	8389.528	5.262563443	0.280792926	2.430423548
5.21142	8404.994	5.085983918	0.2865237	2.205118888
5.22542	8415.336	4.004308845	0.260531663	3.454629819
5.23641	8423.487	4.962255274	0.239688892	3.04136469
5.24742	8430.452	4.826472205	0.252774237	3.132351284
5.25841	8438.728	5.136173957	0.266239218	2.633735948
5.26942	8447.536	5.155929055	0.26653459	3.18065842
5.28042	8456.336	4.936136037	0.281791007	2.448254928
5.29341	8466.728	5.062991096	0.26264696	2.570462699
5.30441	8475.528	5.716481411	0.259047731	2.496492278
5.31541	8483.787	5.788202333	0.271476191	2.304864706
