anu	ins_chb_s	ins_chb_a	ins_tibet_s
132040	468.871675249447	403.100068209628	500.339283101772
132050	468.887111807264	403.096127296243	500.243279018843
132060	468.902296404701	403.092350909445	500.1473104505
132070	468.917228998083	403.088738981041	500.051377900613
132080	468.931909545678	403.085291442724	499.955481871865
132090	468.946338007857	403.082008226234	499.859622865628
132100	468.96051434713	403.078889263402	499.763801381915
132110	468.974438527963	403.075934486248	499.668017919664
132120	468.988110516983	403.073143826769	499.572272976453
132130	469.001530283231	403.070517216879	499.476567048512
132140	469.014697797131	403.068054588977	499.380900631131
132150	469.027613031763	403.065755874959	499.285274217903
132160	469.040275962311	403.063621007367	499.18968830158
132170	469.052686565706	403.061649918338	499.094143373402
132180	469.064844821188	403.05984254042	498.998639923635
132190	469.076750709991	403.05819880602	498.903178440866
132200	469.088404215751	403.056718647745	498.807759412981
132210	469.099805323643	403.055401998108	498.712383326379
132220	469.110954021475	403.054248789888	498.617050666117
132230	469.121850298612	403.053258955703	498.521761916317
132240	469.132494146969	403.052432428557	498.426517559598
132250	469.142885560519	403.05176914112	498.331318077541
132260	469.153024534842	403.051269026638	498.236163950527
132270	469.162911068316	403.05093201777	498.141055657576
132280	469.172545160653	403.050758047933	498.045993676624
132290	469.181926814256	403.050747050208	497.950978484356
132300	469.191056033443	403.050898957776	497.856010556322
132310	469.199932824443	403.051213703864	497.761090366791
132320	469.208557195589	403.051691222005	497.666218388855
132330	469.216929157788	403.052331445608	497.571395094593
132340	469.225048722993	403.053134308096	497.476620954471
132350	469.232915906502	403.054099743086	497.381896438252
132360	469.240530724824	403.055227684173	497.287222014307
132370	469.247893196602	403.056518065153	497.192598149833
132380	469.255003343155	403.057970819734	497.098025310731
132390	469.261861187179	403.059585881846	497.003503962104
132400	469.268466753938	403.061363185254	496.90903456724
132410	469.274820070395	403.063302663999	496.814617589089
132420	469.280921165905	403.065404252197	496.720253488807
132430	469.286770071696	403.067667883912	496.625942726642
132440	469.292366821231	403.070093493266	496.531685761726
132450	469.297711449929	403.072681014528	496.437483051921
132460	469.30280399531	403.075430381971	496.343335053879
132470	469.307644496977	403.078341530073	496.249242223421
132480	469.312232996511	403.081414393105	496.155205014931
132490	469.316569537727	403.084648905699	496.061223881693
132500	469.320654166546	403.088045002347	495.96729927601
132510	469.324486930574	403.091602617654	495.873431648978
132520	469.328067880001	403.095321686335	495.779621450596
132530	469.3313970666	403.099202143163	495.685869129468
132540	469.334474544593	403.10324392289	495.592175133521
132550	469.337300370087	403.107446960295	495.498539909241
132560	469.339874601165	403.111811190459	495.404963902259
132570	469.342197298224	403.116336548307	495.311447556895
132580	469.344268523424	403.121022968797	495.217991316222
132590	469.346088341373	403.125870387199	495.124595622768
132600	469.347656818187	403.130878738554	495.031260917326
132610	469.348974022548	403.136047958138	494.93798763993
132620	469.350040024962	403.141377981131	494.844776229613
132630	469.350854897883	403.146868742864	494.751627123891
132640	469.351418716082	403.152520178857	494.658540759663
132650	469.351731556138	403.158332224493	494.565517572551
132660	469.35179349705	403.164304815198	494.472557997113
132670	469.351604619129	403.170437886539	494.379662466524
132680	469.351165005521	403.176731374104	494.28683141369
132690	469.350474741238	403.18318521348	494.19406526944
132700	469.349533912718	403.189799340519	494.101364464418
132710	469.348342609326	403.196573690914	494.008729427524
132720	469.346900921919	403.203508200349	493.916160587204
132730	469.345208943473	403.210602804776	493.823658370209
